"filename", "language", "Groovy", "Properties", "XML", "Batch", "Java", "comment", "blank", "total"
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\compiler.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\gradle.xml", "XML", 0, 0, 22, 0, 0, 0, 0, 22
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\jarRepositories.xml", "XML", 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\build.gradle", "Groovy", 49, 0, 0, 0, 0, 0, 9, 58
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\androidTest\java\com\sander\fantasticfood\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 15, 6, 5, 26
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\AndroidManifest.xml", "XML", 0, 0, 34, 0, 0, 0, 3, 37
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\Allergy.java", "Java", 0, 0, 0, 0, 70, 0, 18, 88
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\MealPlan.java", "Java", 0, 0, 0, 0, 70, 0, 18, 88
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\Recipe.java", "Java", 0, 0, 0, 0, 121, 0, 29, 150
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Model\UserProfile.java", "Java", 0, 0, 0, 0, 94, 0, 25, 119
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\AllergyAPI.java", "Java", 0, 0, 0, 0, 21, 0, 9, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\MealPlanAPI.java", "Java", 0, 0, 0, 0, 21, 0, 9, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\RecipeAPI.java", "Java", 0, 0, 0, 0, 31, 0, 12, 43
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\API\UserProfileAPI.java", "Java", 0, 0, 0, 0, 20, 0, 8, 28
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\AllergyRecyclerAdapter.java", "Java", 0, 0, 0, 0, 61, 0, 17, 78
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\GalleryRecyclerAdapter.java", "Java", 0, 0, 0, 0, 47, 0, 18, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\MealPlanRecyclerAdapter.java", "Java", 0, 0, 0, 0, 61, 0, 18, 79
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\MyRecipeRecyclerAdapter.java", "Java", 0, 0, 0, 0, 80, 0, 25, 105
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\RecipeAllergyAdapter.java", "Java", 0, 0, 0, 0, 68, 0, 18, 86
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\RecipeMealPlanAdapter.java", "Java", 0, 0, 0, 0, 68, 0, 19, 87
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Adapters\RecipeRecyclerAdapter.java", "Java", 0, 0, 0, 0, 93, 0, 24, 117
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\AuthIntercepter.java", "Java", 0, 0, 0, 0, 45, 0, 11, 56
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Logic\LoginViewModel.java", "Java", 0, 0, 0, 0, 86, 0, 17, 103
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Logic\RecipeLogic.java", "Java", 0, 0, 0, 0, 140, 0, 27, 167
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Logic\RecipeViewModel.java", "Java", 0, 0, 0, 0, 34, 0, 14, 48
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Logic\SignUpViewModel.java", "Java", 0, 0, 0, 0, 88, 0, 15, 103
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\Logic\UserProfileLogic.java", "Java", 0, 0, 0, 0, 81, 0, 11, 92
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\LoginRESTClient.java", "Java", 0, 0, 0, 0, 28, 0, 10, 38
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\RESTClient.java", "Java", 0, 0, 0, 0, 51, 0, 14, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationActivity.java", "Java", 0, 0, 0, 0, 27, 0, 8, 35
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationFragments\Login.java", "Java", 0, 0, 0, 0, 55, 0, 10, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationFragments\SignUp.java", "Java", 0, 0, 0, 0, 54, 0, 14, 68
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainActivity.java", "Java", 0, 0, 0, 0, 58, 0, 16, 74
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\ExploreRecipes.java", "Java", 0, 0, 0, 0, 85, 0, 20, 105
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\FavouriteRecipes.java", "Java", 0, 0, 0, 0, 78, 0, 22, 100
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\Home.java", "Java", 0, 0, 0, 0, 78, 0, 21, 99
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\MyProfileActivity.java", "Java", 0, 0, 0, 0, 50, 0, 10, 60
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\SingleRecipe.java", "Java", 0, 0, 0, 0, 126, 0, 20, 146
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\NewRecipeActivity.java", "Java", 0, 0, 0, 0, 226, 12, 28, 266
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileAllergies.java", "Java", 0, 0, 0, 0, 53, 1, 12, 66
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileMealPlans.java", "Java", 0, 0, 0, 0, 51, 1, 13, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileMyDetails.java", "Java", 0, 0, 0, 0, 77, 1, 17, 95
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\ProfileFragments\ProfileMyRecipes.java", "Java", 0, 0, 0, 0, 92, 1, 21, 114
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\add.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\allergy.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\back.xml", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\button_border.xml", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\choose_image.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\delete.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\edit.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\email.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\favourite.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\favourite_outline.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\favourite_red.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\home.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 170, 0, 0, 0, 1, 171
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\input_shape.xml", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\input_shape_light.xml", "XML", 0, 0, 11, 0, 0, 3, 1, 15
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\mealplan.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\menu.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\my_recipe.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\next.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\password.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\person_circle.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\previous.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\profile_fill.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\profile_outline.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\refresh.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\search.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\share.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\star.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\drawable\undo.xml", "XML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\activity_authentication.xml", "XML", 0, 0, 52, 0, 0, 0, 6, 58
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 69, 0, 0, 0, 15, 84
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\activity_my_profile.xml", "XML", 0, 0, 62, 0, 0, 0, 12, 74
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\activity_new_recipe.xml", "XML", 0, 0, 244, 0, 0, 0, 32, 276
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\activity_single_recipe.xml", "XML", 0, 0, 171, 0, 0, 0, 24, 195
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_allergy_tile.xml", "XML", 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_explore_recipes.xml", "XML", 0, 0, 86, 0, 0, 0, 13, 99
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_favourite_recipes.xml", "XML", 0, 0, 43, 0, 0, 0, 7, 50
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_home.xml", "XML", 0, 0, 75, 0, 0, 0, 12, 87
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_login.xml", "XML", 0, 0, 92, 0, 0, 0, 16, 108
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_mealplan_tile.xml", "XML", 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_my_recipe_tile.xml", "XML", 0, 0, 57, 0, 0, 0, 6, 63
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_profile_allergies.xml", "XML", 0, 0, 53, 0, 0, 0, 6, 59
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_profile_meal_plans.xml", "XML", 0, 0, 52, 0, 0, 0, 6, 58
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_profile_my_details.xml", "XML", 0, 0, 189, 0, 0, 0, 33, 222
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_profile_my_recipes.xml", "XML", 0, 0, 82, 0, 0, 0, 16, 98
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_recipe_tile.xml", "XML", 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\fragment_sign_up.xml", "XML", 0, 0, 117, 0, 0, 0, 21, 138
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\gallery_tile.xml", "XML", 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\header_navigation_drawer.xml", "XML", 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\layout\spinner_item_layout.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\menu\navigation_drawer.xml", "XML", 0, 0, 28, 0, 0, 0, 6, 34
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\menu\profile_bottom_app_bar.xml", "XML", 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\menu\recipe_toolbar_menu.xml", "XML", 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\mipmap-anydpi-v26\food_logo.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\mipmap-anydpi-v26\food_logo_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\navigation\authentigation_graph.xml", "XML", 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\navigation\main_graph.xml", "XML", 0, 0, 34, 0, 0, 0, 6, 40
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\navigation\profile_graph.xml", "XML", 0, 0, 37, 0, 0, 0, 2, 39
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\values\colors.xml", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\values\food_logo_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\values\image_placeholder_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\values\strings.xml", "XML", 0, 0, 42, 0, 0, 1, 0, 43
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\res\values\themes.xml", "XML", 0, 0, 95, 0, 0, 2, 16, 113
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\test\java\com\sander\fantasticfood\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 9, 5, 3, 17
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\build.gradle", "Groovy", 19, 0, 0, 0, 0, 3, 3, 25
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\gradle.properties", "Properties", 0, 3, 0, 0, 0, 16, 0, 19
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 1, 1, 7
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\gradlew.bat", "Batch", 0, 0, 0, 61, 0, 0, 24, 85
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\settings.gradle", "Groovy", 2, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 70, 8, 2519, 61, 2613, 53, 973, 6297